id,age_in_years,neighbourhood,beds,daily_rev_per_2_guests,review_scores_rating,total_rev,property_type,room_type,host_response_rate,number_of_reviews
3749010,6.98,IJburg - Zeeburgereiland,4,275,90,4950,House,Entire home/apt,1,3
1758862,6.97,De Pijp - Rivierenbuurt,6,89,94,26344,Apartment,Entire home/apt,1,37
41321,6.97,De Baarsjes - Oud-West,2,85,92,70890,Apartment,Entire home/apt,1,139
42161,6.96,Watergraafsmeer,2,129,93,1548,Apartment,Entire home/apt,0.94,3
82482,6.96,Centrum-West,1,85,89,50490,Apartment,Private room,1,297
42908,6.95,De Pijp - Rivierenbuurt,2,125,100,4000,Apartment,Entire home/apt,0.94,8
42970,6.95,Centrum-West,1,139,97,119540,Bed & Breakfast,Entire home/apt,1,215
253650,6.95,Centrum-West,1,139,97,66720,Bed & Breakfast,Entire home/apt,1,120
568110,6.95,Centrum-West,1,195,94,20280,Apartment,Entire home/apt,1,13
634772,6.95,Centrum-West,1,170,100,680,House,Entire home/apt,0.95,1
44129,6.95,Centrum-West,1,200,98,54400,Apartment,Entire home/apt,0.95,136
2517619,6.95,Centrum-Oost,1,120,96,12240,Apartment,Entire home/apt,0.95,17
43054,6.95,Watergraafsmeer,2,74,84,4440,Apartment,Private room,0.92,30
939349,6.94,Buitenveldert - Zuidas,1,90,90,360,Apartment,Private room,1,2
282108,6.94,Centrum-West,1,129,100,58824,Boat,Entire home/apt,1,76
1913383,6.93,Centrum-Oost,1,185,90,1480,Apartment,Entire home/apt,0.76,4
771758,6.93,Slotervaart,1,55,84,5280,Bed & Breakfast,Private room,0.97,24
44805,6.93,Oostelijk Havengebied - Indische Buurt,2,85,90,52530,Apartment,Private room,0.9,103
5421998,6.93,Centrum-West,2,145,90,580,Apartment,Entire home/apt,0.9,2
45125,6.92,Centrum-Oost,2,135,98,46170,Apartment,Entire home/apt,1,57
45246,6.92,Westerpark,1,140,92,52080,Apartment,Entire home/apt,0.86,62
5150374,6.91,De Pijp - Rivierenbuurt,1,90,85,720,Apartment,Entire home/apt,1,4
45618,6.91,Westerpark,3,105,95,61320,Apartment,Entire home/apt,1,73
45704,6.91,De Baarsjes - Oud-West,1,67,88,57486,Bed & Breakfast,Private room,0.98,143
983021,6.91,De Baarsjes - Oud-West,1,57,85,10944,Apartment,Private room,0.98,32
155050,6.91,De Baarsjes - Oud-West,1,57,88,38646,Bed & Breakfast,Private room,0.98,113
2079528,6.85,De Baarsjes - Oud-West,4,175,99,12600,Apartment,Entire home/apt,1,18
4563750,6.89,Zuid,1,160,100,960,Apartment,Entire home/apt,0.64,1
47061,6.89,De Baarsjes - Oud-West,2,100,96,108000,Apartment,Entire home/apt,1,108
792104,6.88,Centrum-Oost,8,280,89,58800,Apartment,Entire home/apt,1,35
47333,6.88,Centrum-West,3,135,89,28350,Apartment,Entire home/apt,1,35
65230,6.88,Centrum-West,5,135,89,29160,Apartment,Entire home/apt,1,36
48076,6.87,Centrum-West,5,260,97,49920,Apartment,Entire home/apt,0.83,24
48149,6.87,De Pijp - Rivierenbuurt,1,107,94,44940,Apartment,Entire home/apt,1,105
49552,6.85,Centrum-West,8,300,97,91800,Apartment,Entire home/apt,1,153
261902,6.85,Oud-Oost,2,140,97,29400,Apartment,Entire home/apt,1,21
49790,6.85,De Baarsjes - Oud-West,2,199,99,55720,Boat,Entire home/apt,1,70
166520,6.85,Oud-Oost,1,145,97,26100,Apartment,Entire home/apt,0.96,45
190527,6.85,De Pijp - Rivierenbuurt,1,67,96,4824,Apartment,Entire home/apt,0.7,18
50263,6.84,Oostelijk Havengebied - Indische Buurt,4,165,98,73260,Apartment,Entire home/apt,0.7,111
50523,6.84,Centrum-West,2,100,98,10400,Bed & Breakfast,Private room,1,26
50570,6.84,Bos en Lommer,5,79,93,36498,Apartment,Entire home/apt,0.96,77
51667,6.82,De Baarsjes - Oud-West,2,105,96,79800,Apartment,Entire home/apt,1,76
2899247,6.82,Watergraafsmeer,1,85,100,2040,Apartment,Entire home/apt,1,3
97390,6.82,Zuid,4,189,84,7938,Apartment,Entire home/apt,0.97,21
54237,6.82,De Pijp - Rivierenbuurt,2,114,90,456,Apartment,Private room,0.97,2
93807,6.82,Zuid,1,79,100,632,Apartment,Shared room,0.97,2
4445005,6.81,Centrum-West,1,100,100,2800,Apartment,Entire home/apt,1,7
52833,6.8,Westerpark,2,74,82,12728,Apartment,Entire home/apt,1,86
193088,6.8,Westerpark,4,80,89,10560,Apartment,Entire home/apt,1,66
53692,6.8,De Pijp - Rivierenbuurt,4,72,90,24192,Apartment,Private room,0.98,84
53067,6.8,De Pijp - Rivierenbuurt,2,79,93,31284,Apartment,Entire home/apt,0.98,99
53693,6.8,De Pijp - Rivierenbuurt,1,79,93,36656,House,Entire home/apt,0.98,116
53233,6.79,IJburg - Zeeburgereiland,2,160,100,1920,House,Entire home/apt,0.42,3
53671,6.79,Westerpark,1,75,93,35700,Apartment,Private room,1,119
107195,6.79,Centrum-Oost,2,110,92,15840,Apartment,Entire home/apt,0.75,18
912209,6.79,Oostelijk Havengebied - Indische Buurt,2,85,80,510,Apartment,Entire home/apt,0.65,1
4851638,6.76,Centrum-West,1,90,100,360,House,Entire home/apt,1,2
55256,6.75,Centrum-Oost,1,87,95,10440,Apartment,Private room,1,30
3255105,6.75,IJburg - Zeeburgereiland,5,190,91,10640,House,Entire home/apt,1,7
55621,6.75,De Pijp - Rivierenbuurt,4,150,98,16200,Apartment,Entire home/apt,0.67,9
59948,6.74,Osdorp,1,89,95,8366,Apartment,Entire home/apt,0.9,47
55709,6.74,De Pijp - Rivierenbuurt,1,119,99,36176,Apartment,Entire home/apt,1,38
55807,6.74,De Baarsjes - Oud-West,1,60,97,17520,Apartment,Private room,0.9,73
5313835,6.74,Bos en Lommer,2,125,100,1000,Apartment,Entire home/apt,1,2
55868,6.74,Zuid,4,99,97,22572,Apartment,Entire home/apt,1,57
1194098,6.74,Centrum-West,3,140,99,14280,Apartment,Entire home/apt,1,17
260476,6.74,Centrum-Oost,3,120,96,8640,Bed & Breakfast,Entire home/apt,1,12
260362,6.74,Centrum-Oost,1,150,100,3600,Apartment,Entire home/apt,1,4
55985,6.74,Centrum-West,2,85,85,55590,Apartment,Entire home/apt,1,109
1126416,6.74,Zuid,2,275,100,9900,Apartment,Entire home/apt,0.8,6
211690,6.73,Centrum-West,1,129,98,19350,Apartment,Entire home/apt,1,15
